Project definition,WBS element,Name,Profit center (BU),Company code,Company name,Revenue Type,Countries (End Client),Prov/State (End Client),Direct/Ind./Interco,Client Type (Sales Commissions),Sales Rep,% Commission,T&M / FIXED,Currency,Backlog/Pipeline,%,Amount in local currency,Posting Date,Scenario
ACERA*HRPC,ACERA*HRPC*AMES,HRPC ACERA AMES,SAP/SF CA,F037,HR Path Canada Inc.,AMS,Canada,AB,Direct customer,Existing Services,Fredo,,FIXED PRICE,CAD,Backlog,,10845.5,2025-04-01,Actual
ALBERTA_INNOVATES,ALBERTA_INNOV*LIC_SF,AVENUE HR ABERTA INNOVATES LICENCES SF,SAP/SF CA,F037,HR Path Canada Inc.,Licence,Canada,AB,Direct customer,Existing Services,Fredo,,FIXED PRICE,CAD,Backlog,,1246.06,2025-04-01,Actual
ALIRA_HEALTH*INTALENT,ALIRA_HEALTH*WD_ASSIST,INTALENT ALIRA HEALTH WD ASSIST,Workday,F057,In Talent Solutions,Project,Canada,ON,Direct customer,0,Mathieu,,0,CAD,Backlog,,3697.75,2025-04-01,Actual
ALPAC*HRPC,ALPAC*HRPC_AMES,HRP CANADA ALPAC AMS,SAP/SF CA,F037,HR Path Canada Inc.,AMS,Canada,AB,Direct customer,Existing Services,Dan Whitmarsh,,T&M,CAD,Backlog,,75.0,2025-04-01,Actual
ALPAC*HRPC,ALPAC*HRPC_ONBOARDING,HRP CANADA ALPAC ONBOARDING,SAP/SF CA,F037,HR Path Canada Inc.,Project,Canada,AB,Direct customer,Existing Services,Dan Whitmarsh,,T&M,CAD,Backlog,,8315.0,2025-04-01,Actual
AMETEK*EXASERV_INC,AMETEK*CUSTOM_SUPPORT,AMETEK*CUSTOM_SUPPORT,SAP/SF US,F055,HRPATH USA,AMS,USA,,Direct customer,0,0,,0,USD,Backlog,,6925.0,2025-04-01,Actual
BCFSA*HRPC,BCFSA*HRPC*LIC_SF,HRPC BCFSA LICENCES SF,SAP/SF CA,F037,HR Path Canada Inc.,Licence,Canada,BC,Direct customer,Existing Services,Fredo,,FIXED PRICE,CAD,Backlog,,11194.58,2025-04-01,Actual
BCFSA*HRPC,BCFSA*HRPC*AMES,HRPC BCFSA AMES,SAP/SF CA,F037,HR Path Canada Inc.,AMS,Canada,BC,Direct customer,Existing Services,Fredo,,FIXED PRICE,CAD,Backlog,,22265.0,2025-04-01,Actual
BISCUITS_LECLERC*INTAL,BISCUITS_LECLERC*INTAL,INTALENT BISCUITS_LECLERC,SAP/SF CA,F057,In Talent Solutions,Project,Canada,ON,Intercos North America,0,Mathieu,,0,CAD,Backlog,,122.67,2025-04-01,Actual
TIG*APP_DEV,APPLICATION_DEVELOP*SUPP,APPLICATION_DEVELOP*SUPPORT,TIG,F079,Terra Information Group,Staff Aug.,USA,0,Direct customer,0,0,,0,USD,Backlog,,21952.98,2025-04-01,Actual
APPLIED*EXASERV_INC,APPLIED*PAYROLL_SUPPORT,APPLIED PAYROLL SUPPORT,BPO,F055,HRPATH USA,AMS,USA,,Direct customer,0,0,,0,USD,Backlog,,2975.0,2025-04-01,Actual
BRAMPTON,BRAMPTON*LIC_SF,City of BRAMPTON LICENCE SAP,SAP/SF CA,F037,HR Path Canada Inc.,Licence,Canada,ON,Direct customer,Existing Services,Fredo,,FIXED PRICE,CAD,Backlog,,12083.32,2025-04-01,Actual
BRP*INTALENT,BRP*INTLT_AUDIT,INTALENT BRP AUDIT,Other (Intalent),F057,In Talent Solutions,Project,Canada,ON,Direct customer,0,Mathieu,,0,CAD,Backlog,,150.0,2025-04-01,Actual
BSF,BSF*PHASE1,BSF Phase 1,BPO,F037,HR Path Canada Inc.,BPO,Canada,AB,Direct customer,Existing Services,Fredo,,T&M,CAD,Backlog,,63412.5,2025-04-01,Actual
BSF,BSF*PHASE2,BSF Phase 2,SAP/SF CA,F037,HR Path Canada Inc.,Project,Canada,AB,Direct customer,Existing Services,Fredo,,T&M,CAD,Backlog,,887.96,2025-04-01,Actual
BSF,BSF*HRPC_AMES,BSF*HRPC_AMES,SAP/SF CA,F037,HR Path Canada Inc.,AMS,Canada,AB,Direct customer,Existing Services,Fredo,,T&M,CAD,Backlog,,-29250.0,2025-04-01,Actual
BSF*HRPC,BSF*LICENSES,HRP CANADA BSF LICENSES,SAP/SF CA,F037,HR Path Canada Inc.,Licence,Canada,AB,Direct customer,Existing Services,Fredo,,FIXED PRICE,CAD,Backlog,,27919.06,2025-04-01,Actual
TIG*BAKER,BAKER*SUPPORT,TIG Baker Testing services,TIG,F079,Terra Information Group,Staff Aug.,USA,0,Direct customer,0,0,,0,USD,Backlog,,40815.0,2025-04-01,Actual
BANCO_POP*EXASERV_INC,BANCO*ONBOARDING,Banco Popular ONBOARDING 2.0,SAP/SF US,F055,HRPATH USA,,,,,,,,,USD,Backlog,,21165.0,2025-04-01,Actual
BANCO_POP*EXASERV_INC,BANCO*ONBOARDING_TM,Banco Popular ONBOARDING 2.0 TM,SAP/SF US,F055,HRPATH USA,,,,,,,,,USD,Backlog,,4250.0,2025-04-01,Actual
BANCO_POP*EXASERV_INC,BANCO_POPULAR*SUPPORT,Banco Popular:BAP200 - Support,SAP/SF US,F055,HRPATH USA,,,,,,,,,USD,Backlog,,3520.0,2025-04-01,Actual
BASCO*EXASERV,BASCO*INTEGRATION,BASCO*INTEGRATION,SAP/SF US,F055,HRPATH USA,Project,USA,,Direct customer,0,0,,0,USD,Backlog,,6042.5,2025-04-01,Actual
BRANCH_GROUP*EXASERV,BRANCH_GROUP*AMS,BRANCH_GROUP*AMS,SAP/SF US,F055,HRPATH USA,AMS,USA,0,Direct customer,0,0,,0,USD,Backlog,,400.0,2025-04-01,Actual
CHART_QUALTRICS*HRPC,CHARTQUALTRICS*HRPC*PROJ,HRP CANADA CHARTQUALTRICS PROJECT,SAP/SF CA,F037,HR Path Canada Inc.,Project,Canada,US (all states),Intercos North America,Existing Services,Fredo,,T&M,CAD,Backlog,,5976.64,2025-04-01,Actual
BURFORD*EXASERV,BURFORD*AMS,EXASERV BURFORD AMS,SAP/SF US,F055,HRPATH USA,AMS,USA,0,Direct customer,0,0,,0,USD,Backlog,,425.0,2025-04-01,Actual
CITY_OF_LONDON*HRPC,CITYLONDON*HRPC_SUPPORT,HRP CANADA CITY OF LONDON SUPPORT,SAP/SF CA,F037,HR Path Canada Inc.,AMS,Canada,ON,Direct customer,Existing Services,Fredo,,T&M,CAD,Backlog,,5445.0,2025-04-01,Actual
CMGL_CA*SF,CMGL*HRPC_AMES,HR PATH CANADA - PROJECT CMGL- AMES,SAP/SF CA,F037,HR Path Canada Inc.,AMS,Canada,AB,Direct customer,Existing Services,Fredo,,T&M,CAD,Backlog,,1800.0,2025-04-01,Actual
CMGL_CA*SF,CMGL*HRPC*LICENCES,CMGL HR PATH CANADA LICENSES,SAP/SF CA,F037,HR Path Canada Inc.,Licence,Canada,AB,Direct customer,Existing Services,Fredo,,FIXED PRICE,CAD,Backlog,,5250.0,2025-04-01,Actual
CARMEUSE*EXASERV_INC,CARMEUSE*CMG101_SUPPORT,CARMEUSE - EXA - CMG101 Prepaid Support,SAP/SF US,F055,HRPATH USA,AMS,USA,0,Direct customer,0,0,,0,USD,Backlog,,20300.0,2025-04-01,Actual
CMS*HRP_CANADA,CMS*LIC_SF,HRP CANADA CMS LICENCE SAP,SAP/SF CA,F037,HR Path Canada Inc.,Licence,Canada,AB,Direct customer,Existing Services,Fredo,,FIXED PRICE,CAD,Backlog,,4475.0,2025-04-01,Actual
TIG*WORKS,CARMEUSE_CMG101*EXA_SUPP,TIG EXASERV CARMEUSE CMG101 SUPPORT,TIG,F079,Terra Information Group,Staff Aug.,USA,0,Intercos North America,0,0,,0,USD,Backlog,,15120.0,2025-04-01,Actual
CD_SMITH*EXA,CD_SMITH*EXA_AMS,CD_SMITH*EXA_AMS,SAP/SF US,F055,HRPATH USA,Project,USA,0,Direct customer,0,0,,0,USD,Backlog,,3007.0,2025-04-01,Actual
