WBS element,Name,Company code,Profit center (BU),Revenue Type,Direct/Ind./Interco,Countries (End Client),Sales Rep
ACERA*HRPC*AMES,HRPC ACERA AMES,F037,SAP/SF CA,AMS,Direct customer,Canada,Fredo
ACERA*HRPC*LICENCES,HRPC ACERA LICENCES,F037,SAP/SF CA,Licence,Direct customer,Canada,Fredo
ACOSTA_INSTANCE_MERGE,ACOSTA_INSTANCE_MERGE,F055,SAP/SF US,Project,Direct customer,USA,0
ADVANCED_MICRO_AMD_SUPP,Advance Micro Devices AMD Support,F055,SAP/SF US,AMS,,,
ALBERTA_INNOV*LIC_SF,AVENUE HR ABERTA INNOVATES LICENCES SF,F037,SAP/SF CA,Licence,Direct customer,Canada,Fredo
ALIRA_HEALTH*WD_ASSIST,INTALENT ALIRA HEALTH WD ASSIST,F057,Workday,Project,Direct customer,Canada,Mathieu
ALPAC*HRPC_AMES,HRP CANADA ALPAC AMS,F037,SAP/SF CA,AMS,Direct customer,Canada,Dan Whitmarsh
ALPAC*HRPC_ONBOARDING,HRP CANADA ALPAC ONBOARDING,F037,SAP/SF CA,Project,Direct customer,Canada,Dan Whitmarsh
AMF*CORNER,INTALENT AMF CORNER,F057,Other (Intalent),Project,Direct customer,Canada,Mathieu
AGWEST*AMS SF,AGWEST*AMS SF,F055,SAP/SF CA,,,,
ALAMEDA*AMS SF2326,Alameda*AMS SF2326,F055,SAP/SF CA,AMS,,,
AURORA_SF LMS,HRPC AVENUE HR AURORA SF LMS,F037,SAP/SF CA,Project,Direct customer,Canada,Dan Whitmarsh
AURORA_SF ONB,HRPC AVENUE HR AURORA ONB,F037,SAP/SF CA,Project,Direct customer,Canada,Dan Whitmarsh
AMETEK*CUSTOM_SUPPORT,AMETEK*CUSTOM_SUPPORT,F055,SAP/SF US,AMS,Direct customer,USA,0
Apex Tool,Apex Tool Healthcheck and Rollout,F055,SAP/SF US,Project,Direct customer,USA,
BCFSA*HRPC*LIC_SF,HRPC BCFSA LICENCES SF,F037,SAP/SF CA,Licence,Direct customer,Canada,Fredo
BCFSA*HRPC*AMES,HRPC BCFSA AMES,F037,SAP/SF CA,AMS,Direct customer,Canada,Fredo
BCFSA*HRPC_PAYROLL,HRPC BCFSA PAYROLL,F037,BPO,BPO,Direct customer,Canada,Fredo
BISCUITS_LECLERC*INTAL,INTALENT BISCUITS_LECLERC,F057,SAP/SF CA,Project,Intercos North America,Canada,Mathieu
APPLICATION_DEVELOP*SUPP,APPLICATION_DEVELOP*SUPPORT,F079,TIG,Staff Aug.,Direct customer,USA,0
Applied Medical SF,Applied Medical SF,F055,SAP/SF US,Project,Direct customer,USA,
Applied Medical WFS,Applied Medical WFS,F055,SAP/SF US,Project,Direct customer,USA,
APPLIED*PAYROLL_SUPPORT,APPLIED PAYROLL SUPPORT,F055,BPO,AMS,Direct customer,USA,0
BRAMPTON*AMES,City of BRAMPTON AMES,F037,SAP/SF CA,AMS,Direct customer,Canada,Fredo
BRAMPTON*LIC_SF,City of BRAMPTON LICENCE SAP,F037,SAP/SF CA,Licence,Direct customer,Canada,Fredo
ARKEMA_PAYROLL_SUPPORT,ARKEMA_PAYROLL_SUPPORT,F055,SAP/SF US,AMS,,,
BRP*INTLT_AUDIT,INTALENT BRP AUDIT,F057,Other (Intalent),Project,Direct customer,Canada,Mathieu
BSF*PHASE1,BSF Phase 1,F037,BPO,BPO,Direct customer,Canada,Fredo
BSF*PHASE2,BSF Phase 2,F037,SAP/SF CA,Project,Direct customer,Canada,Fredo
BSF*HRPC_AMES,BSF*HRPC_AMES,F037,SAP/SF CA,AMS,Direct customer,Canada,Fredo
BSF*LICENSES,HRP CANADA BSF LICENSES,F037,SAP/SF CA,Licence,Direct customer,Canada,Fredo
BAKER*SUPPORT,TIG Baker Testing services,F079,TIG,Staff Aug.,Direct customer,USA,0
BANCO*ONBOARDING,Banco Popular ONBOARDING 2.0,F055,SAP/SF US,,,,
BANCO*ONBOARDING_TM,Banco Popular ONBOARDING 2.0 TM,F055,SAP/SF US,,,,
BANCO_POPULAR*SUPPORT,Banco Popular:BAP200 - Support,F055,SAP/SF US,,,,
BASCO*INTEGRATION,BASCO*INTEGRATION,F055,SAP/SF US,Project,Direct customer,USA,0
Belden,Belden Payroll RFP,F055,SAP/SF US,Project,Direct customer,USA,
BRANCH_GROUP*AMS,BRANCH_GROUP*AMS,F055,SAP/SF US,AMS,Direct customer,USA,0
BRANCH_GROUP*ONB_2.0,BRANCH_GROUP*ONBOARDING 2.0,F055,SAP/SF US,Project,Direct customer,USA,0
CHARTQUALTRICS*HRPC*PROJ,HRP CANADA CHARTQUALTRICS PROJECT,F037,SAP/SF CA,Project,Intercos North America,Canada,Fredo
BURFORD*AMS,EXASERV BURFORD AMS,F055,SAP/SF US,AMS,Direct customer,USA,0
CITYLONDON*HRPC_SUPPORT,HRP CANADA CITY OF LONDON SUPPORT,F037,SAP/SF CA,AMS,Direct customer,Canada,Fredo
CIVA*PROJ,INTALENT CIVA PROJECT,F057,Other (Intalent),Project,Direct customer,Canada,Mathieu
CMGL*HRPC_AMES,HR PATH CANADA - PROJECT CMGL- AMES,F037,SAP/SF CA,AMS,Direct customer,Canada,Fredo
CMGL*HRPC*LICENCES,CMGL HR PATH CANADA LICENSES,F037,SAP/SF CA,Licence,Direct customer,Canada,Fredo
CARMEUSE*CMG101_SUPPORT,CARMEUSE - EXA - CMG101 Prepaid Support,F055,SAP/SF US,AMS,Direct customer,USA,0
CMS*LIC_SF,HRP CANADA CMS LICENCE SAP,F037,SAP/SF CA,Licence,Direct customer,Canada,Fredo
CMS*HRPC*AMES,HRP CANADA CMS AMES,F037,SAP/SF CA,AMS,Direct customer,Canada,Fredo
CARMEUSE_CMG101*EXA_SUPP,TIG EXASERV CARMEUSE CMG101 SUPPORT,F079,TIG,Staff Aug.,Intercos North America,USA,0
CD_SMITH*EXA_AMS,CD_SMITH*EXA_AMS,F055,SAP/SF US,Project,Direct customer,USA,0
COP*HRPC*SOW_1,HRPC COP SOW 1,F037,SAP/SF CA,Project,Direct customer,Canada,Fredo
COUNTY_WELLINGTON*LIC_SF,HRP CANADA COUNTY WELLINGTON SF LICENCE,F037,SAP/SF CA,Licence,Direct customer,Canada,Fredo
COUNTY_WELLINGTON*SF_P2,HRP CANADA COUNTY WELLINGTON SF PHASE 2,F037,SAP/SF CA,Project,Direct customer,Canada,Fredo
COW*HRPC*AMES,HRP CANADA COUNTY WELLINGTON AMES,F037,SAP/SF CA,AMS,Direct customer,Canada,Fredo
CHART_HOWDEN*EXA*PROJECT,EXA CHART HOWDEN PROJECT,F055,SAP/SF US,,,,
CHART_HOWDEN*EXA_KDS,EXA CHART HOWDEN KDS,F055,SAP/SF US,,,,
CHART_IND*CHT200_SUPPORT,CHART IND - EXA - CHT200 SUPPORT,F055,SAP/SF US,AMS,Direct customer,USA,0
CHART_QUALTRICS*EXA*PROJ,EXA CHART QUALTRICS PROJECT,F055,SAP/SF US,Project,Direct customer,USA,0
CHECKERS*AMS,Checkers*AMS,F055,SAP/SF CA,,,,
CIRRUS*EXA_COMP,CIRRUS*EXA_COMP,F055,SAP/SF US,Project,Direct customer,USA,0
CIRRUS*EXA_LMS_PROJECT,CIRRUS*EXA_LMS_PROJECT,F055,SAP/SF US,Project,Direct customer,USA,0
CIRRUS*EXA_S&D_PROJECT,CIRRUS*EXA_S&D_PROJECT,F055,SAP/SF US,Project,Direct customer,USA,0
CIRRUS*EXA_SUPPORT,CIRRUS*EXA_SUPPORT,F055,SAP/SF US,AMS,Direct customer,USA,0
EDC*PROJ,INTALENT EDC PROJ,F057,Other (Intalent),Project,Direct customer,Canada,Mathieu
CLARKSTON*AMS_NUBO,EXASERV US CLARKSTON MAS NUBO,F055,SAP/SF US,AMS,Direct customer,USA,0
ESFOX*HRPC*AMES,HRP CANADA ESFOX AMES,F037,SAP/SF CA,AMS,Direct customer,Canada,Dan Whitmarsh
ETS_RECHERCHE*PROJ,INTALENT ETS RECHERCHE PROJ,F057,Other (Intalent),Project,Direct customer,Canada,Mathieu
CLARKSTON*SUPPORT,EXASERV US CLARKSTON SUPPORT,F055,SAP/SF US,AMS,Direct customer,USA,0
COINBASE*PROJECT,COINBASE PROJECT,F055,SAP/SF US,,,,
