ChAc;G/L Acct;B/S acct;G/L acct;Group Acct;Date;Created by;AT;AcGp;Samp. acct;Tr.Prt;DelFl;Crtn.block;Pstg block;Plan.block;Search Term;Func. Area;Short Text;G/L Acct Long Text;G/L long text;P&L LVL 1;P&L LVL 2;P&L LVL 3;P&L LVL 4;P&L LVL 5;P&L LVL 6;P&L LVL 7
PCOP;101310;X;101310;;14.02.2007;CBL;;SAKO;;;;;;;;;Subscribed capital;Subscribed capital;SUBSCRIBED CAPITAL;;;;;;;
PCOP;101320;X;101320;;14.02.2007;CBL;;SAKO;;;;;;;;;Subscribed and paid-;Subscribed and paid-up capital (amortized);SUBSCRIBED AND PAID-UP CA;;;;;;;
PCOP;104100;X;104100;;06.04.2012;PDUP;;BIL.;;;;;;;;;Capital stock: subsc;Capital stock: subscribed value-dated(un;CAPITAL STOCK: SUBSCRIBED;;;;;;;
PCOP;106110;X;106110;;14.02.2007;CBL;;SAKO;;;;;;;;;Legal reserve;Legal reserve;LEGAL RESERVE;;;;;;;
PCOP;106880;X;106880;;14.02.2007;CBL;;SAKO;;;;;;;;;Various reserves;Various reserves;VARIOUS RESERVES;;;;;;;
PCOP;110000;X;110000;;14.02.2007;CBL;;SAKO;;;;;;;;;Retained earnings (c;Retained earnings (credit balance);RETAINED EARNINGS (CREDIT;;;;;;;
PCOP;119000;X;119000;;14.02.2007;CBL;;SAKO;;;;;;;;;Retained losses (deb;Retained losses (debit balance);RETAINED LOSSES (DEBIT BA;;;;;;;
PCOP;120000;X;120000;;12.02.2007;CBL;;BIL.;;;;;;;;;Profit for the year;Profit for the year;PROFIT FOR THE YEAR;;;;;;;
PCOP;129000;X;129000;;14.02.2007;CBL;;BIL.;;;;;;;;;Loss for the year;Loss for the year;LOSS FOR THE YEAR;;;;;;;
PCOP;145000;X;145000;;02.12.2010;PDUP;;BIL.;;;;;;;;;AMORT.DEROGATOIRES;AMORT.DEROGATOIRES;AMORT.DEROGATOIRES;;;;;;;
PCOP;151100;X;151100;;14.02.2007;CBL;;SAKO;;;;;;;;;Provisions for risks;Provisions for risks (litigation);PROVISIONS FOR RISKS (LIT;;;;;;;
PCOP;151200;X;151200;;14.02.2007;CBL;;SAKO;;;;;;;;;Provisions for risks;Provisions for risks (customer guarantees);PROVISIONS FOR RISKS (CUS;;;;;;;
PCOP;151300;X;151300;;14.02.2007;CBL;;SAKO;;;;;;;;;Provisions for risks;Provisions for risks (forward market losses);PROVISIONS FOR RISKS (FOR;;;;;;;
PCOP;151400;X;151400;;14.02.2007;CBL;;SAKO;;;;;;;;;Provisions for risks;Provisions for risks (fines and penalties);PROVISIONS FOR RISKS (FIN;;;;;;;
PCOP;151500;X;151500;;14.02.2007;CBL;;SAKO;;;;;;;;;Provisions for risks;Provisions for risks (foreign exchange losses);PROVISIONS FOR RISKS (FOR;;;;;;;
PCOP;151800;X;151800;;14.02.2007;CBL;;SAKO;;;;;;;;;Provisions for risks;Provisions for risks (others);PROVISIONS FOR RISKS (OTH;;;;;;;
PCOP;155000;X;155000;;14.02.2007;CBL;;SAKO;;;;;;;;;Provisions for taxes;Provisions for taxes;PROVISIONS FOR TAXES;;;;;;;
PCOP;158200;X;158200;;14.02.2007;CBL;;SAKO;;;;;;;;;Provisions for socia;Provisions for social and tax charges on paid vaca;PROVISIONS FOR SOCIAL AND;;;;;;;
PCOP;164000;X;164000;;14.02.2007;CBL;;SAKO;;;;;;;;;Loans from credit in;Loans from credit institutions;LOANS FROM CREDIT INSTITU;;;;;;;
PCOP;165100;X;165100;;14.02.2007;CBL;;SAKO;;;;;;;;;Deposits received;Deposits received;DEPOSITS RECEIVED;;;;;;;
PCOP;165500;X;165500;;14.02.2007;CBL;;SAKO;;;;;;;;;Guarantees received;Guarantees received;GUARANTEES RECEIVED;;;;;;;
PCOP;168850;X;168850;;14.02.2007;CBL;;SAKO;;;;;;;;;Accrued interest (on;Accrued interest (on deposits and guarantees recei;ACCRUED INTEREST (ON DEPO;;;;;;;
PCOP;168880;X;168880;;16.05.2014;PDUP;;SAKO;;;;;;;;;Accrued interest on;Accrued interest on loans and debts;ACCRUED INTEREST ON LOANS;;;;;;;
PCOP;181000;X;181000;;27.04.2007;CCOCUELLE;;SAKO;;;;;;;;;Inter-establishment;Inter-establishment liaison account;INTER-ESTABLISHMENT LIAIS;;;;;;;
PCOP;186000;X;186000;;14.02.2007;CBL;;SAKO;;;;;;;;;Intercompany charges;Intercompany charges for goods and services;INTERCOMPANY CHARGES FOR;;;;;;;
PCOP;187000;X;187000;;14.02.2007;CBL;;SAKO;;;;;;;;;Intercompany income;Intercompany income from goods and services;INTERCOMPANY INCOME FROM;;;;;;;
PCOP;201000;X;201000;;02.12.2010;PDUP;;BIL.;;;;;;;;;FRAIS D'ETABLISSEMEN;FRAIS D'ETABLISSEMENT;FRAIS D'ETABLISSEMENT;;;;;;;
PCOP;203000;X;203000;;14.02.2007;CBL;;IMMO;;;;;;;;;Research and develop;Research and development costs;RESEARCH AND DEVELOPMENT;;;;;;;
PCOP;205000;X;205000;;14.02.2007;CBL;;IMMO;;;;;;;;;Concessions and simi;Concessions and similar rights (patents, etc.);CONCESSIONS AND SIMILAR R;;;;;;;
