Data de lançamento;Empresa;Conta;Referência;Nº documento;Chave de lançamento;Segmento;Elemento PEP;Centro custo;Centro de lucro;Texto;Moeda interna 2;Montante em MI2;Moeda interna;Montante em moeda interna
12/31/2025;F037;604100;TRANSMOUNTAIN LI;100116863;40;CBL_000;TRANSMOUNTAIN*LIC_SF;;990;;EUR;1,833.66;CAD;2,950.00
12/31/2025;F037;604100;TRANSMOUNTAIN LI;100116865;50;CBL_000;TRANSMOUNTAIN*LIC_SF;;990;;EUR;-1,833.66;CAD;-2,950.00
6/30/2025;F037;604100;000001;1900004733;40;CBL_000;HRPC*RESOLUTE;;990;Cloudsol 192H/125 - 06.25;EUR;15,329.59;CAD;24,000.00
1/1/2026;F037;604100;;100117083;50;SAP;PROCOM*PWC*OPG SF;;SAPSF;Melgacorp Angel Millan 17.5H;EUR;-1,087.77;CAD;-1,750.00
1/1/2026;F037;604100;;100117084;50;SAP;PROCOM*PWC*OPG SF;;SAPSF;Melgacorp Angel Millan 5H;EUR;-310.79;CAD;-500.00
7/31/2025;F037;604100;280;100109719;40;CBL_100;SASKATOON_C*HRPC*PHASE1;;110;1650413 Ontario 35h * 100;EUR;2,209.87;CAD;3,500.00
7/31/2025;F037;604100;280;100109719;40;CBL_100;BSF*HRPC*CR014;;110;1650413 Ontario 25h * 100;EUR;1,578.48;CAD;2,500.00
7/31/2025;F037;604100;280;100109719;40;CBL_000;SASKPOWER*AMES;;990;1650413 Ontario 16h * 100;EUR;1,010.23;CAD;1,600.00
8/31/2025;F037;604100;281;100109720;40;CBL_100;SASKATOON_C*HRPC*PHASE1;;110;1650413 Ontario 31.5h * 100;EUR;1,964.94;CAD;3,150.00
8/31/2025;F037;604100;281;100109720;40;CBL_100;BSF*HRPC*CR014;;110;1650413 Ontario 15.5h * 100;EUR;966.88;CAD;1,550.00
8/31/2025;F037;604100;281;100109720;40;CBL_000;BCFSA*HRPC*AMES;;990;1650413 Ontario 12h * 100;EUR;748.55;CAD;1,200.00
8/31/2025;F037;604100;281;100109720;40;CBL_000;NRM*AMES;;990;1650413 Ontario 12.5h * 100;EUR;779.74;CAD;1,250.00
8/31/2025;F037;604100;281;100109720;40;CBL_000;IMPGROUP*HRPC*AMES;;990;1650413 Ontario 0.5h * 100;EUR;31.19;CAD;50.00
9/30/2025;F037;604100;282;100111283;40;CBL_100;SASKATOON_C*HRPC*PHASE1;;110;1650413 Ontario 8h * 100;EUR;499.03;CAD;800.00
9/30/2025;F037;604100;282;100111283;40;CBL_100;BSF*HRPC*CR014;;110;1650413 Ontario 28.5h * 100;EUR;1,777.81;CAD;2,850.00
9/30/2025;F037;604100;282;100111283;40;CBL_000;BCFSA*HRPC*AMES;;990;1650413 Ontario 15.5h * 100;EUR;966.88;CAD;1,550.00
9/30/2025;F037;604100;282;100111283;40;CBL_000;NRM*AMES;;990;1650413 Ontario 14h * 100;EUR;873.31;CAD;1,400.00
9/30/2025;F037;604100;282;100111283;40;CBL_000;IMPGROUP*HRPC*AMES;;990;1650413 Ontario 1h * 100;EUR;62.38;CAD;100.00
